Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Julio,386,Italia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",21848.4,11.96,34487.88
2018,Julio,399,Japón,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",159120,124.07,358101.65
2018,Julio,429,Letonia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",34310,20.43,58832.29
2018,Julio,438,Libia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",18500,11.04,31776.21
2018,Julio,573,Países Bajos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",4346709.06,2156.78,6226600.75
2018,Julio,628,Reino Unido,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",13684847.7,6615.5,19049868.42
2018,Julio,767,Suiza,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2402014.86,1195,3436655.51
2018,Julio,249,Estados Unidos,5,Antioquia,0803902000 - Los demás bananos secos,1940,31.38,90408.78
2018,Julio,17,Albania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",21060,9.61,27693.04
2018,Julio,23,Alemania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",10340206.8,5123.78,14799529.32
2018,Julio,87,Bélgica,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",21347091,9813.83,28282969.71
2018,Julio,198,Croacia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",246615,102.34,295245.44
2018,Julio,245,España,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2149510,1018.34,2935328.08
2018,Julio,247,Eslovenia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2467584,1265.22,3646390.01
2018,Julio,249,Estados Unidos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1313901,634.61,1829779.41
2018,Julio,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,315264,165.87,479326.94
2018,Julio,275,Francia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1931938,1066.64,3076097.92
2018,Julio,301,Grecia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1906815,941.16,2718396.52
2018,Julio,386,Italia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",17491792.2,8610.16,24837924.6
2018,Julio,467,Malta,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",62532,37.05,107183.38
2018,Julio,538,Noruega,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2023380,921.34,2652585.98
2018,Julio,573,Países Bajos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",3998511,2040.77,5865955.25
2018,Julio,607,Portugal,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",567913,248.56,715570.8
2018,Julio,628,Reino Unido,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",12103561.4,6190.38,17813581.04
2018,Julio,628,Reino Unido,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,710,0.38,1096.78
2018,Julio,764,Suecia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",875140,357.62,1029890.32
2018,Julio,830,Ucrania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",247820.4,98.68,284060.26
2018,Julio,27,Aruba,68,Santander,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,240,0.76,2198.8
2018,Julio,245,España,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",19807,10.11,29414.89
